,version,annee,km,prix,prix_argus,telephones,professionnel,url,prix_au_dessus_argus
0,INTENSE TYPE 1,2016,2500,23512,0,NaN,c,https://www.leboncoin.fr/voitures/1035061660.htm?ca=12_s,True
1,LIFE TYPE 2,2016,10,13490,13438,NaN,c,https://www.leboncoin.fr/voitures/1006229113.htm?ca=12_s,True
2,ZEN TYPE 2,2016,100,16890,13894,NaN,c,https://www.leboncoin.fr/voitures/1035061272.htm?ca=12_s,True
3,INTENSE TYPE 2,2016,3000,15490,14109,NaN,c,https://www.leboncoin.fr/voitures/1032643293.htm?ca=12_s,True
4,ZEN TYPE 1,2013,27689,8990,9956,NaN,c,https://www.leboncoin.fr/voitures/988625609.htm?ca=12_s,False
5,LIFE TYPE 1,2015,11480,11720,11985,NaN,c,https://www.leboncoin.fr/voitures/1029606565.htm?ca=12_s,False
6,LIFE TYPE 1,2015,7569,11290,12163,NaN,c,https://www.leboncoin.fr/voitures/990328036.htm?ca=12_s,False
7,ZEN TYPE 1,2016,1,13990,0,NaN,c,https://www.leboncoin.fr/voitures/1028687174.htm?ca=12_s,True
8,LIFE TYPE 1,2015,24600,10980,11589,NaN,c,https://www.leboncoin.fr/voitures/1006593533.htm?ca=12_s,False
9,LIFE TYPE 2,2016,2000,21490,13428,NaN,c,https://www.leboncoin.fr/voitures/1021932499.htm?ca=12_s,True
10,INTENSE TYPE 2,2016,1000,17100,14133,NaN,c,https://www.leboncoin.fr/voitures/996062730.htm?ca=12_s,True
11,LIFE TYPE 2,2016,2000,21490,13428,NaN,c,https://www.leboncoin.fr/voitures/996062702.htm?ca=12_s,True
12,INTENSE TYPE 2,2016,1000,17100,14133,NaN,c,https://www.leboncoin.fr/voitures/1021932515.htm?ca=12_s,True
13,LIFE TYPE 2,2015,11494,10990,12048,NaN,c,https://www.leboncoin.fr/voitures/990711542.htm?ca=12_s,False
14,INTENSE TYPE 1,2013,53800,9790,9628,NaN,c,https://www.leboncoin.fr/voitures/1030496042.htm?ca=12_s,True
16,ZEN TYPE 1,2014,17791,10190,11216,NaN,c,https://www.leboncoin.fr/voitures/1021894763.htm?ca=12_s,False
17,ZEN TYPE 1,2016,6000,16500,0,NaN,c,https://www.leboncoin.fr/voitures/1029113352.htm?ca=12_s,True
18,ZEN TYPE 1,2013,62434,8400,9457,NaN,c,https://www.leboncoin.fr/voitures/1022574878.htm?ca=12_s,False
19,ZEN TYPE 1,2013,24973,10490,10103,NaN,c,https://www.leboncoin.fr/voitures/1002044191.htm?ca=12_s,True
20,ZEN TYPE 1,2014,37240,9480,10653,NaN,c,https://www.leboncoin.fr/voitures/966409096.htm?ca=12_s,False
21,ZEN TYPE 1,2016,100,20000,0,NaN,c,https://www.leboncoin.fr/voitures/1027119232.htm?ca=12_s,True
22,ZEN TYPE 2,2015,7975,12990,12630,NaN,c,https://www.leboncoin.fr/voitures/953171498.htm?ca=12_s,True
23,LIFE TYPE 2,2016,200,13290,13438,NaN,c,https://www.leboncoin.fr/voitures/953653115.htm?ca=12_s,False
25,INTENSE TYPE 1,2015,17979,12500,12264,NaN,c,https://www.leboncoin.fr/voitures/1026235016.htm?ca=12_s,True
26,ZEN TYPE 1,2016,100,14800,0,NaN,c,https://www.leboncoin.fr/voitures/1023692772.htm?ca=12_s,True
27,ZEN TYPE 1,2016,100,15600,0,NaN,c,https://www.leboncoin.fr/voitures/946608083.htm?ca=12_s,True
28,INTENSE TYPE 1,2013,7700,11490,10767,NaN,c,https://www.leboncoin.fr/voitures/1000566875.htm?ca=12_s,True
29,ZEN TYPE 1,2013,21500,9990,10278,NaN,c,https://www.leboncoin.fr/voitures/1002404906.htm?ca=12_s,False
30,INTENSE TYPE 1,2014,17885,11900,11407,NaN,c,https://www.leboncoin.fr/voitures/1019359181.htm?ca=12_s,True
31,INTENSE TYPE 1,2016,10,14464,0,NaN,c,https://www.leboncoin.fr/voitures/1018969305.htm?ca=12_s,True
32,LIFE TYPE 1,2015,13195,10990,11875,NaN,c,https://www.leboncoin.fr/voitures/1001259838.htm?ca=12_s,False
33,INTENSE TYPE 1,2016,200,14464,0,NaN,c,https://www.leboncoin.fr/voitures/1018969268.htm?ca=12_s,True
34,LIFE TYPE 2,2016,14,12990,13438,NaN,c,https://www.leboncoin.fr/voitures/1024057804.htm?ca=12_s,False
35,LIFE TYPE 1,2014,7297,9970,11170,NaN,c,https://www.leboncoin.fr/voitures/1000205618.htm?ca=12_s,False
36,ZEN TYPE 1,2015,8214,12590,12559,NaN,c,https://www.leboncoin.fr/voitures/1013296781.htm?ca=12_s,True
37,LIFE TYPE 1,2016,10,12820,0,NaN,c,https://www.leboncoin.fr/voitures/1018969287.htm?ca=12_s,True
38,INTENSE TYPE 1,2015,2350,20900,12871,NaN,c,https://www.leboncoin.fr/voitures/1003980024.htm?ca=12_s,True
39,LIFE TYPE 2,2016,100,19700,13438,NaN,c,https://www.leboncoin.fr/voitures/1026233921.htm?ca=12_s,True
40,INTENSE TYPE 1,2014,100,20000,11789,NaN,c,https://www.leboncoin.fr/voitures/1012873366.htm?ca=12_s,True
42,ZEN TYPE 1,2015,19500,12000,12022,NaN,p,https://www.leboncoin.fr/voitures/1036491233.htm?ca=12_s,False
43,LIFE TYPE 1,2016,1700,12800,0,NaN,p,https://www.leboncoin.fr/voitures/1032393144.htm?ca=12_s,True
44,INTENSE TYPE 1,2013,30000,9600,10010,NaN,p,https://www.leboncoin.fr/voitures/1034575248.htm?ca=12_s,False
45,INTENSE TYPE 1,2013,25000,8950,10279,NaN,p,https://www.leboncoin.fr/voitures/1028001099.htm?ca=12_s,False
47,LIFE TYPE 1,2015,22000,10800,11599,NaN,p,https://www.leboncoin.fr/voitures/976192388.htm?ca=12_s,False
49,INTENSE TYPE 1,2013,15400,10950,10666,NaN,p,https://www.leboncoin.fr/voitures/1018931643.htm?ca=12_s,True
50,ZEN TYPE 1,2015,4750,12990,12632,NaN,c,https://www.leboncoin.fr/voitures/1006686148.htm?ca=21_s,True
51,INTENSE TYPE 1,2015,8000,12900,12786,NaN,c,https://www.leboncoin.fr/voitures/1035061511.htm?ca=21_s,True
53,ZEN TYPE 1,2013,46145,8990,9483,NaN,c,https://www.leboncoin.fr/voitures/984040634.htm?ca=21_s,False
54,INTENSE TYPE 1,2016,10,15590,0,NaN,c,https://www.leboncoin.fr/voitures/1033965507.htm?ca=21_s,True
55,LIFE TYPE 1,2015,16300,9999,11708,NaN,c,https://www.leboncoin.fr/voitures/1036839788.htm?ca=21_s,False
56,LIFE TYPE 2,2016,10,13490,13438,NaN,c,https://www.leboncoin.fr/voitures/1022436896.htm?ca=21_s,True
57,LIFE TYPE 1,2014,7628,10850,11166,NaN,c,https://www.leboncoin.fr/voitures/998166680.htm?ca=21_s,False
58,INTENSE TYPE 1,2013,32154,9900,9912,NaN,c,https://www.leboncoin.fr/voitures/997770279.htm?ca=21_s,False
59,ZEN TYPE 1,2015,8000,12500,12566,NaN,c,https://www.leboncoin.fr/voitures/912875293.htm?ca=21_s,False
60,LIFE TYPE 1,2014,7628,10850,11166,NaN,c,https://www.leboncoin.fr/voitures/1021931789.htm?ca=21_s,False
61,INTENSE TYPE 1,2014,13243,12490,11631,NaN,c,https://www.leboncoin.fr/voitures/999433750.htm?ca=21_s,True
62,LIFE TYPE 1,2015,7090,11990,12175,NaN,c,https://www.leboncoin.fr/voitures/1014684696.htm?ca=21_s,False
63,INTENSE TYPE 1,2014,11269,11990,11689,NaN,c,https://www.leboncoin.fr/voitures/1019814026.htm?ca=21_s,True
67,INTENSE TYPE 1,2014,3500,12500,11780,NaN,p,https://www.leboncoin.fr/voitures/1032374552.htm?ca=21_s,True
71,LIFE TYPE 1,2014,24000,8990,10509,NaN,c,https://www.leboncoin.fr/voitures/1018657709.htm?ca=2_s,False
72,LIFE TYPE 2,2016,2000,14500,13428,NaN,c,https://www.leboncoin.fr/voitures/952223451.htm?ca=2_s,True
73,ZEN TYPE 2,2016,2500,14700,13877,NaN,c,https://www.leboncoin.fr/voitures/991073210.htm?ca=2_s,True
74,LIFE TYPE 2,2015,10139,12490,12126,NaN,c,https://www.leboncoin.fr/voitures/1015174133.htm?ca=2_s,True
75,LIFE TYPE 2,2016,1500,18900,13432,NaN,c,https://www.leboncoin.fr/voitures/1019356561.htm?ca=2_s,True
76,ZEN TYPE 1,2013,36562,8990,9600,NaN,c,https://www.leboncoin.fr/voitures/1027252459.htm?ca=2_s,False
77,LIFE TYPE 2,2016,2000,18900,13428,NaN,c,https://www.leboncoin.fr/voitures/969730090.htm?ca=2_s,True
79,LIFE TYPE 2,2016,2000,13200,13428,NaN,c,https://www.leboncoin.fr/voitures/999620596.htm?ca=2_s,False
80,LIFE TYPE 1,2015,12905,11990,11894,NaN,c,https://www.leboncoin.fr/voitures/1028667705.htm?ca=2_s,True
81,LIFE TYPE 2,2016,1073,13700,13435,NaN,c,https://www.leboncoin.fr/voitures/962043226.htm?ca=2_s,True
82,ZEN TYPE 1,2013,39000,9500,9552,NaN,p,https://www.leboncoin.fr/voitures/1031537756.htm?ca=2_s,False
83,INTENSE TYPE 1,2013,46000,9500,9649,NaN,p,https://www.leboncoin.fr/voitures/1018237458.htm?ca=2_s,False
84,LIFE TYPE 2,2016,6000,14000,13256,NaN,p,https://www.leboncoin.fr/voitures/1033849358.htm?ca=2_s,True
86,LIFE TYPE 1,2014,24000,9490,10509,NaN,p,https://www.leboncoin.fr/voitures/1002949161.htm?ca=2_s,False
